r,l,t,f,y,UseByTechnology
RE1,S22,LNDRICHR,WTRPRC,2032,0
RE1,S22,LNDRICHR,WTRPRC,2033,0
RE1,S22,LNDRICHR,WTRPRC,2034,0
RE1,S22,LNDRICHR,WTRPRC,2035,0
RE1,S22,LNDWAT,LND,2020,0
RE1,S22,LNDWAT,LND,2021,0
RE1,S22,LNDWAT,LND,2022,0
RE1,S22,LNDWAT,LND,2023,0
RE1,S22,LNDWAT,LND,2024,0
RE1,S22,LNDWAT,LND,2025,0
RE1,S22,LNDWAT,LND,2026,0
RE1,S22,LNDWAT,LND,2027,0
RE1,S22,LNDWAT,LND,2028,0
RE1,S22,LNDWAT,LND,2029,0
RE1,S22,LNDWAT,LND,2030,0
RE1,S22,LNDWAT,LND,2031,0
RE1,S22,LNDWAT,LND,2032,0
RE1,S22,LNDWAT,LND,2033,0
RE1,S22,LNDWAT,LND,2034,0
RE1,S22,LNDWAT,LND,2035,0
RE1,S22,LNDWAT,WTRPRC,2020,0
RE1,S22,LNDWAT,WTRPRC,2021,0
RE1,S22,LNDWAT,WTRPRC,2022,0
RE1,S22,LNDWAT,WTRPRC,2023,0
RE1,S22,LNDWAT,WTRPRC,2024,0
RE1,S22,LNDWAT,WTRPRC,2025,0
RE1,S22,LNDWAT,WTRPRC,2026,0
RE1,S22,LNDWAT,WTRPRC,2027,0
RE1,S22,LNDWAT,WTRPRC,2028,0
RE1,S22,LNDWAT,WTRPRC,2029,0
RE1,S22,LNDWAT,WTRPRC,2030,0
RE1,S22,LNDWAT,WTRPRC,2031,0
RE1,S22,LNDWAT,WTRPRC,2032,0
RE1,S22,LNDWAT,WTRPRC,2033,0
RE1,S22,LNDWAT,WTRPRC,2034,0
RE1,S22,LNDWAT,WTRPRC,2035,0
RE1,S22,PWRCOA,COA,2020,0
RE1,S22,PWRCOA,COA,2021,0
RE1,S22,PWRCOA,COA,2022,0
RE1,S22,PWRCOA,COA,2023,0
RE1,S22,PWRCOA,COA,2024,0
RE1,S22,PWRCOA,COA,2025,0
RE1,S22,PWRCOA,COA,2026,0
RE1,S22,PWRCOA,COA,2027,0
RE1,S22,PWRCOA,COA,2028,0
RE1,S22,PWRCOA,COA,2029,0
RE1,S22,PWRCOA,COA,2030,0
RE1,S22,PWRCOA,COA,2031,0
RE1,S22,PWRCOA,COA,2032,0
RE1,S22,PWRCOA,COA,2033,0
RE1,S22,PWRCOA,COA,2034,0
RE1,S22,PWRCOA,COA,2035,0
RE1,S22,PWRGAS,GAS,2020,0
RE1,S22,PWRGAS,GAS,2021,0
RE1,S22,PWRGAS,GAS,2022,0
RE1,S22,PWRGAS,GAS,2023,0
RE1,S22,PWRGAS,GAS,2024,0
RE1,S22,PWRGAS,GAS,2025,0
RE1,S22,PWRGAS,GAS,2026,0
RE1,S22,PWRGAS,GAS,2027,0
RE1,S22,PWRGAS,GAS,2028,0
RE1,S22,PWRGAS,GAS,2029,0
RE1,S22,PWRGAS,GAS,2030,0
RE1,S22,PWRGAS,GAS,2031,0
RE1,S22,PWRGAS,GAS,2032,0
RE1,S22,PWRGAS,GAS,2033,0
RE1,S22,PWRGAS,GAS,2034,0
RE1,S22,PWRGAS,GAS,2035,0
RE1,S22,PWRHYD,HYD,2020,0
RE1,S22,PWRHYD,HYD,2021,0
RE1,S22,PWRHYD,HYD,2022,0
RE1,S22,PWRHYD,HYD,2023,0
RE1,S22,PWRHYD,HYD,2024,0
RE1,S22,PWRHYD,HYD,2025,0
RE1,S22,PWRHYD,HYD,2026,0
RE1,S22,PWRHYD,HYD,2027,0
RE1,S22,PWRHYD,HYD,2028,0
RE1,S22,PWRHYD,HYD,2029,0
RE1,S22,PWRHYD,HYD,2030,0
RE1,S22,PWRHYD,HYD,2031,0
RE1,S22,PWRHYD,HYD,2032,0
RE1,S22,PWRHYD,HYD,2033,0
RE1,S22,PWRHYD,HYD,2034,0
RE1,S22,PWRHYD,HYD,2035,0
RE1,S22,PWRSOL,SOL,2020,0
RE1,S22,PWRSOL,SOL,2021,0
RE1,S22,PWRSOL,SOL,2022,0
RE1,S22,PWRSOL,SOL,2023,0
RE1,S22,PWRSOL,SOL,2024,0
RE1,S22,PWRSOL,SOL,2025,0
RE1,S22,PWRSOL,SOL,2026,0
RE1,S22,PWRSOL,SOL,2027,0
RE1,S22,PWRSOL,SOL,2028,0
RE1,S22,PWRSOL,SOL,2029,0
RE1,S22,PWRSOL,SOL,2030,0
RE1,S22,PWRSOL,SOL,2031,0
RE1,S22,PWRSOL,SOL,2032,0
RE1,S22,PWRSOL,SOL,2033,0
RE1,S22,PWRSOL,SOL,2034,0
RE1,S22,PWRSOL,SOL,2035,0
RE1,S22,PWRTRN,ELC001,2020,0
RE1,S22,PWRTRN,ELC001,2021,0
RE1,S22,PWRTRN,ELC001,2022,0
RE1,S22,PWRTRN,ELC001,2023,0
RE1,S22,PWRTRN,ELC001,2024,0
RE1,S22,PWRTRN,ELC001,2025,0
RE1,S22,PWRTRN,ELC001,2026,0
RE1,S22,PWRTRN,ELC001,2027,0
RE1,S22,PWRTRN,ELC001,2028,0
RE1,S22,PWRTRN,ELC001,2029,0
RE1,S22,PWRTRN,ELC001,2030,0
RE1,S22,PWRTRN,ELC001,2031,0
RE1,S22,PWRTRN,ELC001,2032,0
RE1,S22,PWRTRN,ELC001,2033,0
RE1,S22,PWRTRN,ELC001,2034,0
RE1,S22,PWRTRN,ELC001,2035,0
RE1,S22,PWRWND,WND,2020,0
RE1,S22,PWRWND,WND,2021,0
RE1,S22,PWRWND,WND,2022,0
RE1,S22,PWRWND,WND,2023,0
RE1,S22,PWRWND,WND,2024,0
RE1,S22,PWRWND,WND,2025,0
RE1,S22,PWRWND,WND,2026,0
RE1,S22,PWRWND,WND,2027,0
RE1,S22,PWRWND,WND,2028,0
RE1,S22,PWRWND,WND,2029,0
RE1,S22,PWRWND,WND,2030,0
RE1,S22,PWRWND,WND,2031,0
RE1,S22,PWRWND,WND,2032,0
RE1,S22,PWRWND,WND,2033,0
RE1,S22,PWRWND,WND,2034,0
RE1,S22,PWRWND,WND,2035,0
